"","x"
"1","ef_ippu_tonne_c4f6_per_tonne_production_electronics"
"2","ef_ippu_tonne_n2o_per_tonne_production_electronics"
"3","ef_ippu_tonne_sf6_per_tonne_production_electronics"
"4","frac_ippu_cement_clinker"
"5","frac_ippu_production_with_co2_capture_cement"
"6","frac_ippu_production_with_co2_capture_chemicals"
"7","frac_ippu_production_with_co2_capture_glass"
"8","frac_ippu_production_with_co2_capture_lime_and_carbonite"
"9","frac_ippu_production_with_co2_capture_metals"
"10","frac_ippu_production_with_co2_capture_plastic"
"11","frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic"
"12","frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic"
"13","frac_wali_ww_domestic_rural_treatment_path_latrine_improved"
"14","frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved"
"15","frac_wali_ww_domestic_rural_treatment_path_primary"
"16","frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic"
"17","frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic"
"18","frac_wali_ww_domestic_rural_treatment_path_septic"
"19","frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage"
"20","frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage"
"21","frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic"
"22","frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic"
"23","frac_wali_ww_domestic_urban_treatment_path_latrine_improved"
"24","frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved"
"25","frac_wali_ww_domestic_urban_treatment_path_primary"
"26","frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic"
"27","frac_wali_ww_domestic_urban_treatment_path_secondary_anaerobic"
"28","frac_wali_ww_domestic_urban_treatment_path_septic"
"29","frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage"
"30","frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage"
"31","fuelefficiency_trns_road_light_gasoline_km_per_litre"
"32","gasrecovered_lsmm_biogass_anaerobic_digester_tonne"
"33","gdp_mmm_usd"
"34","population_gnrl_rural"
"35","population_gnrl_urban"
"36","totalvalue_enfu_fuel_consumed_ccsq_fuel_electricity"
"37","totalvalue_enfu_fuel_consumed_entc_fuel_electricity"
"38","totalvalue_enfu_fuel_consumed_inen_fuel_electricity"
"39","totalvalue_enfu_fuel_consumed_scoe_fuel_electricity"
"40","totalvalue_enfu_fuel_consumed_trns_fuel_electricity"










































































































