"","region","ISO3","start_val","end_val"
"1","argentina","ARG",0.842728167,0.842728167
"2","bahamas","BHS",0.125,0.8
"3","barbados","BRB",0.125,0.8
"4","belize","BLZ",0.125,0.8
"5","bolivia","BOL",0.507139381,0.8
"6","brazil","BRA",0.393536686,0.8
"7","chile","CHL",0.150650433,0.8
"8","colombia","COL",0.125,0.8
"9","costa_rica","CRI",0.125,0.8
"10","dominican_republic","DOM",0.125,0.8
"11","ecuador","ECU",0.125,0.8
"12","el_salvador","SLV",0.125,0.8
"13","guatemala","GTM",0.125,0.8
"14","guyana","GUY",0.125,0.8
"15","haiti","HTI",0.125,0.8
"16","honduras","HND",0.125,0.8
"17","jamaica","JAM",0.125,0.8
"18","mexico","MEX",0.125,0.8
"19","nicaragua","NIC",0.125,0.8
"20","panama","PAN",0.125,0.8
"21","paraguay","PRY",0.497929609,0.8
"22","peru","PER",0.125,0.8
"23","suriname","SUR",0.125,0.8
"24","trinidad_and_tobago","TTO",0.125,0.8
"25","uruguay","URY",0.709560939,0.8
"26","venezuela","VEN",0.125,0.8

